Unnamed: 0,Issuer.Ticker,Issuer.Name,Sales...1.Yr.Growth,Profit.Margin,Return.on.Assets,Offer.Size..M.,Shares.Outstanding..M.,Offer.Price,Offer.To.1st.Close,Market.Cap.at.Offer..M.,Trade.Date..US.,cusip,Cash.Flow.per.Share,Instit.Owner....Shares.Out.,Instit.Owner..Shares.Held.,Month.Date,Month.of.Quarter,Real.GDP.Per.Capita,OECD.Leading.Indicator,Interest.Rate,Seasonally.Adjusted.Unemployment.Rate,CPI.Growth.Rate,Filing.Term.Price.Range,Priced.Range,Industry.Sector,Industry.Group,Industry.Subgroup,Underpriced,price_1yr,X1_year_return,X1_year_up,actual_date_1yr,days_from_ipo,status,1_Year_excess_return,1_day_excess_return
155,CDW,CDW Corp/DE,12.7,4.7,9.2,454.538,171.958,17.0,8.058823586,2923.29,6/27/13,12514G108,5.6,101.514,137441000.0,6/1/13,4/1/13,51982,100.5692261,0.75,7.657716977,0.239970809,17 - 18,Priced Within Range,4,8,132,1,27.98,64.61,1,2014-06-27,365,success,43.1414847185983,7.43884049292702
156,CDXS,Codexis Inc,51.6,-20.3,-8.4,78.0,33.9771,13.0,2.0,441.7,4/22/10,192005106,-0.2,99.3459,65257300.0,4/1/10,4/1/10,50424,99.72769411,0.75,10.14140777,0.173688491,13 - 15,Priced Within Range,6,14,133,1,10.56,-18.77,0,2011-04-25,368,success,-26.7514976369184,1.77361202600721
157,CE,Celanese Corp,50.9,22.1,10.0,800.0,158.675,16.0,0.0,2538.8,1/21/05,150870103,15.8,111.348,120732000.0,1/1/05,1/1/05,50068,100.465498,3.25,5.311398023,0.21019443,19 - 21,Priced Below Range,6,14,133,0,14.92,-6.73,0,2006-01-23,367,success,-16.7627985564866,0.641481592116477
158,CERT,Certara Inc,17.4,-4.6,-0.2,768.506,152.98,23.0,65.56521606,3518.53,12/11/20,15687V109,0.4,91.3153,145806000.0,12/1/20,10/1/20,57005,99.71018332,0.25,6.897872332,0.094147847,19 - 22,Priced Above Range,0,21,29,1,28.34,23.22,1,2021-12-13,367,success,-4.18551950036723,65.6917157976306
159,CF,CF Industries Holdings Inc,58.5,14.0,25.4,759.0,55.0,16.0,1.25,880.0,8/11/05,125269100,13.3,101.717,199558000.0,8/1/05,7/1/05,50470,100.3998318,4.5,4.955369401,0.511770727,15 - 17,Priced Within Range,6,14,17,1,2.03,-87.32,0,2006-08-11,365,success,-89.5933610698505,0.543805051972517
160,CFG,Citizens Financial Group Inc,-8.9,34.8,0.9,3461.5,559.998,21.5,7.348837376,12040.0,9/24/14,174610105,5.3,92.4238,455179000.0,9/1/14,7/1/14,53340,100.8454243,0.75,6.060002734,0.075256882,23 - 25,Priced Below Range,3,9,10,1,16.13,-24.96,0,2015-09-24,365,success,-22.1796338068548,6.5655882425478
161,CG,Carlyle Group Inc/The,201.5,33.8,8.3,671.0,30.5,22.0,0.227272734,671.0,5/3/12,14316J108,5.0,60.7495,220888000.0,5/1/12,4/1/12,51702,99.83138197,0.75,8.313429668,-0.117347937,23 - 25,Priced Below Range,3,41,87,1,16.37,-25.58,0,2013-05-03,365,success,-41.5942936861041,0.993159916443714
162,CGBD,Carlyle Secured Lending Inc,-5.9,93.6,5.8,174.903,61.4205,18.5,-2.108108044,1136.28,6/14/17,872280102,1.3,22.7248,11672300.0,6/1/17,4/1/17,55057,99.9382068,1.75,4.359433085,0.090711101,18.50 - 19.50,Priced Within Range,3,24,37,0,6.91,-62.63,0,2018-06-14,365,success,-76.9426184273414,-2.00852495540991
163,CHCI,Comstock Holding Cos Inc,38.2,43.7,11.5,72.864,7.93317,16.0,4.6875,126.93,12/14/04,205684202,0.9,7.82868,724113.0,12/1/04,10/1/04,49623,100.4972747,3.25,5.46561248,-0.366492147,14 - 16,Priced Within Range,5,51,131,1,104.86,555.38,1,2005-12-14,365,success,550.727272701278,4.29540613105506
164,CHCT,Community Healthcare Trust Inc,19.6,24.8,2.9,136.562,7.5112,19.0,3.947368383,142.713,5/21/15,20369C106,2.4,98.9326,25029100.0,5/1/15,4/1/15,54021,100.231857,0.75,5.674303505,0.509723203,19 - 21,Priced Within Range,3,3,136,1,10.58,-44.31,0,2016-05-20,365,success,-40.4058663638792,3.71358096757141
165,CHEF,Chefs' Warehouse Inc/The,57.0,-0.2,3.0,155.25,22.0167,15.0,16.66666603,330.25,7/28/11,163086101,-0.5,105.881,40520900.0,7/1/11,7/1/11,50769,99.50703914,0.75,9.061306168,0.088604567,14 - 16,Priced Within Range,0,10,95,1,16.58,10.53,1,2012-07-27,365,success,7.66840022904379,16.9900627110605
166,CHGG,Chegg Inc,20.4,-0.1,10.3,187.5,81.7283,12.5,-22.55999947,1021.6,11/13/13,163092109,1.9,106.868,134095000.0,11/1/13,10/1/13,52544,100.6507643,0.75,7.112790148,-0.204242419,9.50 - 11.50,Priced Above Range,0,7,79,0,6.86,-45.12,0,2014-11-13,365,success,-59.5801601571268,-23.3695339176478
167,CHRS,Coherus Biosciences Inc,-31.3,-87.9,-43.1,91.85,32.5594,13.5,-6.592592716,432.702,11/6/14,19249H103,-0.5,108.666,84518300.0,11/1/14,10/1/14,53464,100.7732648,0.75,5.911112923,-0.539941794,15-Dec,Priced Within Range,0,13,15,0,29.4,117.78,1,2015-11-06,365,success,114.27961848528,-6.97014403391228
168,CHWY,Chewy Inc,24.4,-0.8,-2.5,1023.0,46.5,22.0,59.04545593,1023.0,6/14/19,16679L109,0.4,115.848,129202000.0,6/1/19,4/1/19,57418,99.43025865,3.0,3.689126149,0.019914718,19 - 21,Priced Above Range,4,8,138,1,46.76,112.55,1,2020-06-15,367,success,108.562437952549,59.2066071511905
169,CIM,Chimera Investment Corp,56.1,58.9,-3.9,511.25,37.7049,15.0,-0.666666687,565.57,11/16/07,16934Q208,2.2,51.0556,118324000.0,11/1/07,10/1/07,52066,101.5178052,5.0,4.772251125,0.593961787,15 - 15,Priced Within Range,3,3,6,0,4.2,-72.0,0,2008-11-17,367,success,-34.4710355681687,-1.18969779160481
170,CLBK,Columbia Financial Inc,-5.5,33.8,0.9,498.32,115.889,10.0,54.20000076,1158.89,4/20/18,197641103,0.9,78.1095,85588900.0,4/1/18,4/1/18,56512,100.6581149,2.25,4.024101718,0.397509156,10-Oct,Priced Within Range,3,26,39,1,15.15,51.5,1,2019-04-22,367,success,42.7030775385295,55.0536539812992
171,CLDT,Chatham Lodging Trust,40.7,-9.0,0.0463197,172.5,8.07655,20.0,2.5,161.53,4/16/10,16208T102,0.6,88.5125,43200700.0,4/1/10,4/1/10,50424,99.72769411,0.75,10.14140777,0.173688491,20 - 20,Priced Within Range,3,3,63,1,8.79,-56.06,0,2011-04-18,367,success,-66.2963021220995,4.1126534692146
172,CLMT,Calumet Specialty Products Par,38.7,-8.2,-6.9,140.93,13.066,21.5,1.162790656,280.92,1/26/06,131476103,-0.5,20.8741,16530100.0,1/1/06,1/1/06,51200,101.0885803,5.5,4.753347115,0.762195122,20.50 - 22.50,Priced Within Range,2,28,68,1,18.37,-14.55,0,2007-01-26,365,success,-26.331012629915,0.439295257218285
173,CLNE,Clean Energy Fuels Corp,-12.3,-36.4,-5.2,138.0,45.6934,12.0,0.333333343,548.32,5/25/07,184499101,0.1,47.9642,106686000.0,5/1/07,4/1/07,51705,101.897221,6.25,4.507395483,0.611071867,13 - 17,Priced Below Range,5,17,139,1,13.98,16.5,1,2008-05-27,368,success,24.5080229065602,-0.211934678139056
174,CLPR,Clipper Realty Inc,-0.1,-6.1,-0.5,86.2663,17.8128,13.5,0.0,240.473,2/10/17,18885T306,0.6,43.314,6957620.0,2/1/17,1/1/17,54866,99.82153744,1.25,4.66429894,0.314611739,13.50 - 15.50,Priced Within Range,3,3,50,0,5.21,-61.41,0,2018-02-12,367,success,-72.8473252791944,-0.356605033332547
175,CMBM,Cambium Networks Corp,20.6,11.1,4.9,69.6,25.6056,12.0,-19.16666603,307.267,6/26/19,N.A.,1.1,93.1325,25178700.0,6/1/19,4/1/19,57418,99.43025865,3.0,3.689126149,0.019914718,13 - 15,Priced Below Range,4,23,34,0,6.8,-43.33,0,2020-06-25,365,success,-50.7948740754342,-19.0432726378341
176,CME,CME Group Inc,-3.9,56.2,1.4,191.231,31.8177,35.0,22.5714283,1113.62,12/6/02,12572Q105,6.7,110.573,397757000.0,12/1/02,10/1/02,46883,98.08210253,0.75,6.031730606,-0.220628792,31 - 34,Priced Above Range,3,26,128,1,6.97,-80.09,0,2003-12-08,367,success,-97.3542857466358,21.9448778861851
177,CMG,Chipotle Mexican Grill Inc,26.1,8.6,12.0,199.333,7.87879,22.0,100.0,173.33,1/26/06,169656105,45.5,100.784,27938400.0,1/1/06,1/1/06,51200,101.0885803,5.5,4.753347115,0.762195122,18 - 20,Priced Above Range,5,17,33,1,1.15,-94.79,0,2007-01-26,365,success,-100.0,99.2765046012183
